date,home_team,away_team,home_score,away_score,stage,group
2026-06-11,Mexico,South Africa,2,0,Group Stage,A
2026-06-12,South Korea,Czechia,2,1,Group Stage,A
2026-06-12,Canada,Bosnia and Herzegovina,1,1,Group Stage,B
2026-06-13,Qatar,Switzerland,1,1,Group Stage,B
2026-06-13,Brazil,Morocco,1,1,Group Stage,C
2026-06-13,USA,Paraguay,4,1,Group Stage,D
2026-06-14,Haiti,Scotland,0,1,Group Stage,C
2026-06-14,Australia,Turkey,2,0,Group Stage,D
2026-06-14,Germany,Curacao,7,1,Group Stage,E
2026-06-14,Ivory Coast,Ecuador,1,0,Group Stage,E
2026-06-14,Netherlands,Japan,2,2,Group Stage,F
2026-06-15,Sweden,Tunisia,5,1,Group Stage,F
2026-06-15,Belgium,Egypt,1,1,Group Stage,G
2026-06-15,Spain,Cabo Verde,0,0,Group Stage,H
2026-06-15,Saudi Arabia,Uruguay,1,1,Group Stage,H
2026-06-16,Iran,New Zealand,2,2,Group Stage,G
2026-06-16,France,Senegal,3,1,Group Stage,I
2026-06-16,Iraq,Norway,1,4,Group Stage,I
2026-06-17,Argentina,Algeria,3,0,Group Stage,J
2026-06-17,Austria,Jordan,3,1,Group Stage,J
2026-06-17,Portugal,Congo DR,1,1,Group Stage,K
2026-06-17,England,Croatia,4,2,Group Stage,L
2026-06-17,Ghana,Panama,1,0,Group Stage,L
2026-06-18,Czechia,South Africa,1,1,Group Stage,A
2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,Group Stage,B
2026-06-18,Canada,Qatar,6,0,Group Stage,B
2026-06-18,Uzbekistan,Colombia,1,3,Group Stage,K
2026-06-19,Mexico,South Korea,1,0,Group Stage,A
2026-06-19,Scotland,Morocco,0,1,Group Stage,C
2026-06-19,USA,Australia,2,0,Group Stage,D
2026-06-20,Brazil,Haiti,3,0,Group Stage,C
2026-06-20,Turkey,Paraguay,0,1,Group Stage,D
